Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,,,,,,,
Matrimonio_igualitario,,,,,,,
Politicas_sin_influencia_religiosa,Muy de acuerdo,Liberal,,,,,
Estado_no_interviene_estilo_vida,,,,,,,
Gobierno_mano_dura,En desacuerdo,Liberal,,"""La gente ha srecuperado sus calles, puede caminar tranquilamente en lugares donde antes no lo podía hacer. Esos mismos resultados
nosotros lo podemos lograr aquí sin los excesos y abusos que se han cometido en El Salvador y tenemos nosotros las condiciones para hacerlo"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=Tbc8ZWdckh4,0:06:33
Educacion_sexual_solo_familia,Muy en desacuerdo,Liberal,,"""No, no podemos permitir que nuestros niños y nuestras niñas no tengan acceso a esa educación sexual integral""",Entrevista o declaración pública,https://www.youtube.com/watch?v=4S8YJ2QRb1s,0:03:53
Pena_muerte,,,,,,,
Militares_control_calles,,,,,,,
Reprimir_protestas,,,,,,,
Aborto_libre,Muy de acuerdo,Liberal,,"""Yo creo que la mujer tiene el derecho a decidir"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=zhkHt23pUxQ,0:13:58
Posición Liberal-Conservador,,,0,,,,
Cerrar_congreso_si_obstaculiza,,,,,,,
Cambios_radicales_policia,Muy de acuerdo,Antisistema,,"""Lo segundo es modernizar y reorganizar nuestra policía nacional. La policía como está no está funcionando bien"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=Tbc8ZWdckh4,0:02:34
Nueva_constitucion,,,,,,,
Prohibir_politicos_repostulen,,,,,,,
Reducir_sueldo_congresistas,,,,,,,
Permitir_mineria_informal,De acuerdo,Sistema,,"Yo creo que el Reinfo, mientras no tengamos una ley de pequeña minería que establezca con claridad las obligaciones del pequeño minero y a su vez los plazos para su formalización, es una cosa que va a estar ahí permanentemente. Porque, ¿cuál es la alternativa a eso? Entrar a una confrontación",Entrevista o declaración pública,https://www.youtube.com/watch?v=zhkHt23pUxQ,0:18:03
Posición Sistema-Antisistema,,,0,,,,
Asilo_politico_peligro,De acuerdo,Globalista,1,"Dijo que se debe cumplir un ""protocolo internacional"" y que ""la ley es igual para todos""",Entrevista o declaración pública,https://www.youtube.com/watch?v=GNFnRjADPmc,1:19:56
TLC_beneficiosos,No se halló información,,,,,,
Restringir_empresas_extranjeras,Muy de acuerdo,Nacionalista,-2,"""Restricciones Arancelarias para que no nos sigan invadiendo las grandes potencias""",Entrevista o declaración pública,https://www.youtube.com/watch?v=efH9sVKwhvg,min 7:30
Nacionalidad_migrantes,En desacuerdo,Nacionalista,-1,"""El que delinque una vez se va, se le manda a su tierra"" -  Sostiene que los extranjeros son considerados ciudadanos cuando trabajan, respetan las leyes, se nacionalizan y forman familia en el Perú",Entrevista o declaración pública,https://www.youtube.com/watch?v=ELCt0oISV5E,min 58
Ley_peruana_sobre_acuerdos,No se halló información,,,,,,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"-0,375",,,,
Mas_impuestos_ricos,De acuerdo,Izquierda,1,"""Yo veo un gobierno que esta pensando en salvar a los ricos""impuestos a un grupo pequeño de grandes empresas",Entrevista o declaración pública,https://www.youtube.com/watch?v=efH9sVKwhvg,min 16
Empresas_sin_beneficios_tributarios,Muy de acuerdo,Izquierda,2,"""Empresas que se han hecho multimillonarias sean rescatadas por el estado""  - Asimismo invito al Dr. Ramón Ramírez Erazo que señala que una vía para salir de la crisis económica es imponer ",Entrevista o declaración pública,https://www.youtube.com/watch?v=efH9sVKwhvg,min 16
Recursos_naturales_estado,De acuerdo,Izquierda,1,"1. Enfatiza en como la minería esta controlada por empresas estadounidenses
2. ""País Alquilado"" refiriendose a la disposición de los recursos naturales del país ",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=mZiiA0VP7Fs
2. https://www.youtube.com/watch?v=GNFnRjADPmc",1:08:00
Pensiones_estado,No se halló información,,,,,,
Sectores_estrategicos_privados,En desacuerdo,Izquierda,1,"""No se puede privatizar la salud en su totalidad""",Entrevista o declaración pública,"1. https://www.youtube.com/watch?v=ELCt0oISV5E
2. https://www.youtube.com/watch?v=GNFnRjADPmc","1. min 33
2. 1:07:00"
Priorizar_mineria_sobre_ambiente,No se halló información,,,,,,
Servicios_basicos_privados,En desacuerdo,Izquierda,1,"Enfatiza que la educación debe ser gratuita y de alta calidad para quienes no pueden pagarla - Critica que se pongan en venta los recursos del país, específicamente menciona el riesgo de privatizar el agua y la energía ",Entrevista o declaración pública,https://www.youtube.com/watch?v=ELCt0oISV5E,min 42
Estado_rol_principal_economia,De acuerdo,Izquierda,1,,,,
Posición Derecha-Izquierda,,,"0,7",,,,
