Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,En desacuerdo,Liberal,1,"""No hay necesidad de declarar en emergencia nada, ese es un saludo a la bandera"" ",Entrevista o declaración pública,https://www.youtube.com/watch?v=GtaLfZ-BA28,0:27:09
Matrimonio_igualitario,De acuerdo,Liberal,1,"""Millones de personas que tienen ese esa vivencia que no sienten igual que sienten pues las parejas entre hombre y mujer y yo creo que hay que darles un marco legal, ¿no? Para que vivan, que para que tengan derechos, ¿no? Porque ellos están reclamando (...) Porque yo creo que lo más importante acá es que ejerzan sus derechos. Sea como sea, la forma puede ser distinta o puede ser calificada de un momento, de una forma u otra""",Entrevista o declaración pública,https://www.youtube.com/watch?v=NcN8xEvK78o,0:04:00
Politicas_sin_influencia_religiosa,De acuerdo,Liberal,1,"""Tengo un conflicto como creyente, pero pienso que voy a ser gobernante y tengo que gobernar"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=P8TZNSQYx78,1:39:28
Estado_no_interviene_estilo_vida,En desacuerdo,Conservador,-1,"""Entonces, a mí no, a mí me a mí me parece que tú no fortaleces una sociedad liberalizando las drogas, porque la marihuana también tiene sus efectos. Mira, la literatura tiene sus efectos negativos. El tabaco también. Y eso debía estar prohibido, pero no lo prohíben por los grandes negocios que tiene el trabajo""",Entrevista o declaración pública,https://www.youtube.com/watch?v=NAH9CAO1GQ8,0:45:59
Gobierno_mano_dura,En desacuerdo,Conservador,-1,""" dentro de los ambitos democraticos y de respeto a los derechos humanos a la delincuencia si se le puede vencer""",Entrevista o declaración pública,https://aulamagna.pucp.edu.pe/exposiciones.html#D3,0:32:10
Educacion_sexual_solo_familia,En desacuerdo,Liberal,1,"""(Como preventiva usted tomaría la educación sexual integral para estos roles?) Claro que sí, claro que sí. Eso de cajón, pues no, sin educación no puedes hacer nada, ¿no? (...) Gran parte de nuestras desgracias es por falta educación. Claro que sí. Yo creo que eso es indispensable"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=P8TZNSQYx78,1:01:00
Pena_muerte,Muy en desacuerdo,Liberal,2,"""Todos dicen, o la gran mayoría dice pena de muerte para controlar la seguridad ciudadana.
Es un despropósito, ¿no? La pena y muerte no ha solucionado nunca eh el problema de la seguridad ciudadana""",Entrevista o declaración pública,https://www.youtube.com/watch?v=kg_V5VAnsV0,0:04:56
Militares_control_calles,Muy de acuerdo,Conservador,-2,"""¿Fuerzas armadas a la calle, no? También, también fuerzas armadas. Yo creo que sí, porque si tú pones en las instituciones públicas, solamente en las instituciones públicas, en los colegios, un tipo, un soldado, un oficial o un oficial con su ametralladora, con su tanqueta más allá, ¿tú crees que los delincuentes van a entrar a golpear?",Entrevista o declaración pública,https://www.youtube.com/watch?v=GtaLfZ-BA28,0:26:32
Reprimir_protestas,Muy en desacuerdo,Liberal,2,"""Lo que tiene que hacerse es una manifestación, como sucede en otros países (...) que respetan más la respetan más las libertades y los derechos: la policía no puede ir armada, pues, a las manifestaciones ... tiene que ser un cuidado sincero, transparente",Entrevista o declaración pública,https://www.youtube.com/watch?v=P8TZNSQYx78,0:42:35
Aborto_libre,En desacuerdo,Conservador,-1,"""No, pero yo yo no estoy de acuerdo con eso (aborto). ¿Por qué?
Porque esta guagua, que ha sido fruto de una relación entre dos enamorados, ¿por qué va a estar sometido a pena de muerte? (...) Usted está en contra de el aborto en todos en todáles son las causes que el aborto, yo creo, terapéutico donde hay niñas guaguas con embarazadas donde están en riesgo su vida. Eso, ¿cómo no voy a estar de acuerdo?""",Entrevista o declaración pública,https://www.youtube.com/watch?v=kflfzxUGKWE,0:43:47
Posición Liberal-Conservador,,,"0,15",,,,
Cerrar_congreso_si_obstaculiza,Muy de acuerdo,Antisistema,-2,"""Y el cierre, la desolución del congreso incapaz, yo tengo autoridad moral para decirlo porque yo fui un congresista que pidió el cierre del congreso cuando era parlamaentario porque las mafias dirigian el país""",Entrevista o declaración pública,https://www.facebook.com/lescano.pe/videos/renuncia-boluarte-y-cierre-del-congreso/1856975691524940/,0:00:46
Cambios_radicales_policia,Muy de acuerdo,Antisistema,-2,"""Primero contra la delincuencia tienes que reorganizar la Policía Nacional. La policía necesita una reformulación en sus cuadros""",Entrevista o declaración pública,https://youtu.be/mpokd16a2Fw?si=0dEOgz_mTit7WQLH,0:14:35
Nueva_constitucion,Muy de acuerdo,Antisistema,-2,"""Yo estoy a favor de una asamblea constituyente""",Entrevista o declaración pública,https://www.youtube.com/watch?v=NAH9CAO1GQ8,0:54:46
Prohibir_politicos_repostulen,No se halló información,No se halló información,0,,,,
Reducir_sueldo_congresistas,No se halló información,No se halló información,0,,,,
Permitir_mineria_informal,En desacuerdo,Antisistema,-1,"""Los mineros que están trabajando en concesiones (...) tienen que ser de todas maneras censados, pero hay que acompañarlos porque sacas la ley, apruebas la ley y los dejan a su libre albedrío y nunca se formalizan, nunca se registran. El Estado tiene que ir con ellos para censarlos porque tenemos que tener el número de de mineros que que están trabajando en las concesiones""",Entrevista o declaración pública,https://www.youtube.com/watch?v=jbI3kfEsyco,0:08:59
Posición Sistema-Antisistema,,,"-0,7",,,,
Asilo_politico_peligro,En desacuerdo,Globalista,1,"""Yo siendo abogado y siendo demócrata y respetando los pactos internacionales, yo creo que cualquier país puede dar asilo si ve que y considera que una persona requiere ponerse a buen recaudo""",Entrevista o declaración pública,https://youtu.be/mpokd16a2Fw?si=0dEOgz_mTit7WQLH,0:11:35
TLC_beneficiosos,En desacuerdo,Nacionalista,-1,"""Tengo yo que ser no un país primario exportador, porque yo vendo recursos naturales, materia prima y todo se transforma fuera. No, yo tengo que industrializar a mi país, tengo que hacer que aquí se dé valor agregado""",Entrevista o declaración pública,https://www.youtube.com/watch?v=D0VbVfr5GL4,0:10:27
Restringir_empresas_extranjeras,De acuerdo,Nacionalista,-1,Contratos de concesión que son lesivos a los intereses nacionales por su desequilibrio en sus beneficios.,Plan de Gobierno,,
Nacionalidad_migrantes,No se halló información,No se halló información,--,,,,
Ley_peruana_sobre_acuerdos,Muy en desacuerdo,Globalista,2,"""Hay que salirse de la Corte, del pacto de Costa de San José de Costa Rica para aplicar la pena de muerte (...) Esas no son las soluciones""",Entrevista o declaración pública,https://www.youtube.com/watch?v=m8bZD1yCopE,0:21:26
Posición Nacionalista-Globalista,No se halló información,No se halló información,0,,,,
Mas_impuestos_ricos,No se halló información,No se halló información,--,,,,
Empresas_sin_beneficios_tributarios,Muy de acuerdo,Izquierda,2,"""No, señor, que estos señores que tienen se están llevando los recursos naturales que den un poco más porque la gente se muere por falta de medicamentos, falta de atención, falta de una operación y la educación es pésima. Para eso necesitamos dinero""",Entrevista o declaración pública,https://www.youtube.com/watch?v=GtaLfZ-BA28,0:33:15
Recursos_naturales_estado,De acuerdo,Izquierda,1,"""¿Y para qué están nuestros recursos naturales? ¿Para perder? Esos contratos, por ejemplo, como ha sucedido anteriormente, se tienen que renegociar""",Entrevista o declaración pública,https://www.youtube.com/watch?v=SM4p3e1Kucw,0:29:29
Pensiones_estado,Neutral,,0,Reformas en la Ley 32123 del Sistema Único de Pensiones (AFP y ONP) para mejorar pensiones,Plan de Gobierno,,
Sectores_estrategicos_privados,Muy en desacuerdo,Izquierda,2,"""La ineficiencia de los privados está demostrada con la administración del gas, el gas está siendo mal administrado""",Entrevista o declaración pública,https://www.facebook.com/61573129348918/videos/%EF%B8%8Fla-privatizaci%C3%B3n-del-combustible-es-una-estafael-gas-de-camisea-es-para-los-per/2555816774836105/,0:00:13
Priorizar_mineria_sobre_ambiente,En desacuerdo,Izquierda,1,"""No, yo no pienso meter a a presión proyectos mineros porque puede haber muertos, heridos y donde se puede hacer minería que se haga, pero donde ahí hay conflicto y yo prefiero la seguridad alimentaria"".",Entrevista o declaración pública,https://www.youtube.com/watch?v=P8TZNSQYx78,1:37:06
Servicios_basicos_privados,Muy en desacuerdo,Izquierda,2,"""Yo sigo insistiendo en eso de que la tecnología, el internet es ya un derecho humano - ¿Satelite administrado por el Estado peruano o es una concesión? - Es uno que se compre el Estado que puede ser administrado de manera responsable""",Entrevista o declaración pública,https://www.youtube.com/watch?v=SM4p3e1Kucw,0:46:24
Estado_rol_principal_economia,De acuerdo,Izquierda,1,"""Nosotros pensamos que hay libertades públicas, hay libertad de empresa, hay iniciativa privada, pero siempre el Estado tiene que estar vigilando para evitar los abusos""",Entrevista o declaración pública,https://www.youtube.com/watch?v=GtaLfZ-BA28,0:10:25
Posición Derecha-Izquierda,,,"0,9",,,,
