Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,De acuerdo,Conservador,-1,,Entrevista o declaración pública,,
Matrimonio_igualitario,En desacuerdo,Conservador,-1,"""Cada ser humano es libre y tiene derecho a ser feliz como quiera mientras no transgreda los derechos de otro. No concibo una sociedad heterosexual avasallante sobre los homosexuales; sin embargo, el matrimonio es entre un hombre y una mujer""",Entrevista o declaración pública,"CARLOS ÁLVAREZ: ""ESTOY A FAVOR DE LA UNIÓN CIVIL"" #politica #humor #entretenimiento - YouTube",TODO EL VIDEO
Politicas_sin_influencia_religiosa,No se halló información,No se halló información,,,,,
Estado_no_interviene_estilo_vida,Muy de acuerdo,Liberal,2,"""Cada ser humano es libre y tiene derecho a ser feliz como quiera mientras no transgreda los derechos de otro. No concibo una sociedad heterosexual avasallante sobre los homosexuales; sin embargo, el matrimonio es entre un hombre y una mujer""",,,
Gobierno_mano_dura,Muy de acuerdo,Conservador,-2,"""No estoy publicando aquí Fuente Ovejuna ni estoy promocionando la Ley de Talión. Para mí los delincuentes no tienen derewchos humanos""",Entrevista o declaración pública,ROSA MARÍA PALACIOS ENTREVISTA A CARLOS ÁLVAREZ DE PAÍS PARA TODOS #SGE,0:16:28
Educacion_sexual_solo_familia,No se halló información,No se halló información,,,,,
Pena_muerte,Muy de acuerdo,Conservador,-2,"""Más castigo, sanción, no impunidad. Cárcel perpetua. O se rinden ante el Estado o al cementerio"".",Entrevista o declaración pública,Carlos Álvarez y su plan de 'Mano Dura',0:00:24
Militares_control_calles,No se halló información,No se halló información,,,,,
Reprimir_protestas,No se halló información,No se halló información,,,,,
Aborto_libre,De acuerdo,Liberal,1,"""Yo sí estoy de acuerdo con el aborto cuando una criaturita es violada""",Entrevista o declaración pública,ROSA MARÍA PALACIOS ENTREVISTA A CARLOS ÁLVAREZ DE PAÍS PARA TODOS #SGE,0:19:26
Posición Liberal-Conservador,,,"-0,15",,,,
Cerrar_congreso_si_obstaculiza,No se halló información,No se halló información,,,,,
Cambios_radicales_policia,De acuerdo,Antisistema,1,"""Tenemos que hacer una inversiónj histórica en intelligencia y contrainteligencia y, también hacer una reforma de los sistemas de inteligencia del país: DIGEMIN, DIVINCRI y de las fuerzas de inteligencia de las FFAA"" / ""La policía a la calle. Se acabó la policía de papeleo""",Entrevista o declaración pública,https://www.facebook.com/share/v/1bAzLFmWz4/,0:05:48/0:07:30
Nueva_constitucion,Neutral,,0,"""Claro que nuestra constitución merece una revisión""",Entrevista o declaración pública,https://www.youtube.com/watch?v=CFsXTS96qa0,0:00:56
Prohibir_politicos_repostulen,En desacuerdo,Antisistema,1,"""Propongo que los que fueron congresistas no vuelvan ni por por 1 o 2 periodos, ni como asesores""",Entrevista o declaración pública,https://youtu.be/wj9qYGNBk2Q?si=Q7WkiilFBdLhLv8K,0:02:05
Reducir_sueldo_congresistas,Muy de acuerdo,Antisistema,2,Tres sueldos mínimos como pago,Entrevista o declaración pública,https://youtube.com/shorts/aQunsradf9M?si=8L82-0xMGaSs8Wcd,
Permitir_mineria_informal,Muy en desacuerdo,Antisistema,2,"“Con la minería ilegal hay que tener mano dura y hay que recuperar el principio de autoridad, de no hacernos los locos, de ponernos una venda en los ojos” (Cristina Chambizea Reyes - candidata a Primera Vicepresidente)",Entrevista o declaración pública,https://youtu.be/N9RjqS-16Ao?si=Spc02LKFLJcZohIv,0:13:44
Posición Sistema-Antisistema,,,"0,6",,,,
Asilo_politico_peligro,No se halló información,No se halló información,,,,,
TLC_beneficiosos,De acuerdo,Globalista,1,,Ideario,,
Restringir_empresas_extranjeras,Muy en desacuerdo,Globalista,2,"""Nosotros somos pragmáticos, creemos en la democracia, creemos en la inversión privada, creemos en la economía de mercado, la inversión extranjera con sueldos dignos para el país y con contratos extranjeros no leoninos, como pasó con Odebrecht, porque ahí se levantaron la plata por sacos, saquearon el país, saquearon el Estado.""",Entrevista o declaración pública,https://youtu.be/PzcVg4CbAyQ?si=VPrYaoh9Qm6kvcbq,0:05:59
Nacionalidad_migrantes,,,,,,,
Ley_peruana_sobre_acuerdos,De acuerdo,Globalista,1,,Ideario,,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,5",,,,
Mas_impuestos_ricos,No se halló información,No se halló información,,,,,
Empresas_sin_beneficios_tributarios,No se halló información,No se halló información,,,,,
Recursos_naturales_estado,No se halló información,No se halló información,,,,,
Pensiones_estado,No se halló información,No se halló información,,,,,
Sectores_estrategicos_privados,No se halló información,No se halló información,,,,,
Priorizar_mineria_sobre_ambiente,No se halló información,No se halló información,,,,,
Servicios_basicos_privados,En desacuerdo,Izquierda,1,,Entrevista o declaración pública,https://www.youtube.com/watch?v=xnrlN-MZ5-I,0:38:20
Estado_rol_principal_economia,En desacuerdo,Derecha,-1,,Entrevista o declaración pública,https://www.youtube.com/watch?v=xnrlN-MZ5-I,0:52:10
Posición Derecha-Izquierda,,,0,,,,
