Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,De acuerdo,Conservador,-1,“Le pedimos al Ejecutivo que cambie al coronel y se cambien los 130 de inteligencia (involucrados)”,Entrevista o declaración pública,https://youtu.be/vPTe8OMUHkM?si=4eixbhw4OJJtepFj,
Matrimonio_igualitario,Muy en desacuerdo,Conservador,-2,"... sobre el matrimonio LGBTI: es “mucho peligro para la humanidad”
María Acuña también aseguró que el matrimonio supuestamente viene padeciendo de “experimentos sociales”. La legisladora afirmó que ello contribuye con el deterioro de la sociedad.",Posición Partidaria,https://www.infobae.com/peru/2023/09/14/congresista-acuna-y-su-postura-discriminadora-sobre-el-matrimonio-lgbti-es-mucho-peligro-para-la-humanidad/,
Politicas_sin_influencia_religiosa,En desacuerdo,Conservador,-1,“Estoy con un gran asesor: Dios … Cuando me dicen “¿César Acuña” quién lo orienta?” (Respondo) Dios. “¿Quién lo cuida?” (Respondo) Dios.”,Entrevista o declaración pública,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiAtJ30-JiTAxVUpZUCHQ3MG1wQtwJ6BAgyEAI&url=https%3A%2F%2Fwww.instagram.com%2Freel%2FDNTMVQntJeH%2F&usg=AOvVaw17gwcyVH1mxsFvSktWv0OA&opi=89978449,0:00:17
Estado_no_interviene_estilo_vida,No se halló información,No se halló información,--,,,,
Gobierno_mano_dura,Muy de acuerdo,Conservador,-2,“Yo sí tengo la autoridad de decir corruptos a la cárcel … No voy a permitir que el gobierno use a los peruanos.”,Entrevista o declaración pública,https://www.youtube.com/live/owjzcLFd-ks?si=dwKdSVTMLc10UwWo,0:31:45
Educacion_sexual_solo_familia,En desacuerdo,Liberal,1,"Acuña Peralta expresó que hay la necesidad de que los escolares de los niveles de inicial, primaria y secundaria, lleven cursos de educación sexual de manera obligatoria. “Hay que educar para erradicar la violencia contra la mujer”",Entrevista o declaración pública,https://www.gob.pe/institucion/regionlalibertad/noticias/1153618-cesar-acuna-hay-que-educar-para-erradicar-la-violencia-hacia-la-mujer,
Pena_muerte,De acuerdo,Liberal,1,"""Es momento de abrir el debate sobre la pena de muerte para violadores de menores...""",Entrevista o declaración pública,https://www.tvperu.gob.pe/noticias/politica/congreso-app-presenta-proyecto-de-ley-que-propone-retiro-del-peru-del-pacto-de-san-jose,
Militares_control_calles,De acuerdo,Conservador,-1,Se crea el Ministerio de Defensa y Seguridad Interna que integra FF.AA. y PNP,Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Reprimir_protestas,De acuerdo,Conservador,-1,"Lady Camones, el 25/01/2023, suspende la denuncia hacia Dina Boluarte por Infracción constitucional por violaciones de derechos humanos",Posición Partidaria,https://ojo-publico.com/5874/subcomision-app-archiva-y-suspende-28-denuncias-dina-boluarte,
Aborto_libre,No se halló información,No se halló información,--,,,,
Posición Liberal-Conservador,,,"-0,3",,,,
Cerrar_congreso_si_obstaculiza,En desacuerdo,Sistema,-1,"Las instituciones políticas y las leyes ... deben transformarse para que los 
ciudadanos estén mejor representados por sus autoridades. ",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Cambios_radicales_policia,Muy de acuerdo,Antisistema,2,Reingeniería del Sistema Nacional de Seguridad Ciudadana (Rediseño de la PNP y otros organismos),Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Nueva_constitucion,Muy en desacuerdo,Sistema,-2,"“Lo que queremos, de aquí a fines de Julio, es que los peruanos noten la estabilidad económica, estabilidad política … también la estabilidad social.”",Entrevista o declaración pública,https://www.youtube.com/live/owjzcLFd-ks?si=dwKdSVTMLc10UwWo,0:11:55
Prohibir_politicos_repostulen,No se halló información,No se halló información,--,,,,
Reducir_sueldo_congresistas,Muy de acuerdo,Antisistema,2,"""Como Alianza para el Progreso, nos oponemos a cualquier aumento de sueldo [...] mi posición personal es que no deben ganar nada, deben ir por vocación de servicio"".",Entrevista o declaración pública,https://www.tvperu.gob.pe/noticias/politica/congreso-app-presenta-proyecto-de-ley-que-propone-retiro-del-peru-del-pacto-de-san-jose,
Permitir_mineria_informal,Muy de acuerdo,Antisistema,2,"Tratar a los mineros informales como emprendedores en transición y 
no como delincuentes, con acceso a capacitación, crédito y mercado",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Posición Sistema-Antisistema,,,"0,3",,,,
Asilo_politico_peligro,No se halló información,No se halló información,--,,,,
TLC_beneficiosos,Muy de acuerdo,Globalista,2,"Impulso de acuerdos comerciales pendientes como el que integra Perú – Brasil 
como mirada estratégica y puerta de salida de este gigante sudamericano hacía 
el Pacífico",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Restringir_empresas_extranjeras,Muy en desacuerdo,Globalista,2,"Llamado abierto y transparente a la comunidad de inversionistas de los 
diferentes países del mundo, para que puedan evaluar las oportunidades de 
ejecución de proyectos que reporta nuestro país.",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Nacionalidad_migrantes,Muy en desacuerdo,Globalista,2,"“Nosotros vamos a ser implacables con aquellos amigos que vienen a cometer actos delincuenciales, de inmediato serán deportados.”",Entrevista o declaración pública,https://www.youtube.com/watch?v=M3F4iIRJ3k0,0:02:10
Ley_peruana_sobre_acuerdos,No se halló información,No se halló información,--,,,,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,75",,,,
Mas_impuestos_ricos,De acuerdo,Izquierda,1," ... migrando sus 
contribuyentes hacia un régimen de IR de Tercera Categoría con tasas 
progresivas, similar al modelo de renta personal",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Empresas_sin_beneficios_tributarios,Muy en desacuerdo,Derecha,-2,"La Exportación No Tradicional que tiene como objetivo promover 
la competitividad y formalización de empresas de exportación no tradicional 
mediante incentivos tributarios y laborales que fomenten el empleo formal y el 
desarrollo sostenible",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Recursos_naturales_estado,Muy en desacuerdo,Derecha,-2,"Se convocará el ingreso rápido y agresivo de Inversión privada en Petroperú 
para revertir su crítica situación. Nuestro gobierno no le inyectará un sol más a 
esta empresa",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Pensiones_estado,Muy en desacuerdo,Derecha,-2,"Las Empresas Administradoras de Fondos (EAF) reemplazarán a las AFP y 
fomentarán competencia en el mercado.",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Sectores_estrategicos_privados,Muy de acuerdo,Derecha,-2,"Para que el sistema aeroportuario no corra riesgos se tendrá incursión de capital 
privado en la gestión de Corpac.",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Priorizar_mineria_sobre_ambiente,Muy de acuerdo,Derecha,-2,“La generación (de trabajos) se va a ser impulsando el eje de desarrollo … el sector minero.”,Entrevista o declaración pública,https://www.youtube.com/live/owjzcLFd-ks?si=dwKdSVTMLc10UwWo,0:14:25
Servicios_basicos_privados,Muy de acuerdo,Derecha,-2,"Al ser centralizadas las EPS en OTASS (con Sedapal incluida), se podrá 
impulsar agresivamente la incursión del sector privado experto en la materia para 
que se hagan cargo de parte o de la totalidad de las empresas, inyectando 
capita",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Estado_rol_principal_economia,Muy en desacuerdo,Derecha,-2," La institucionalidad económica debe fortalecerse para generar un entorno favorable, menos costoso para 
el desarrollo de la inversión privada y el emprendimiento.",Plan de Gobierno,https://img.lpderecho.pe/wp-content/uploads/2025/12/Alianza-Para-el-Progreso-Plan-de-gobierno-LP-Derecho.pdf,
Posición Derecha-Izquierda,,,#REF!,,,,
