Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,Muy en desacuerdo,Liberal,2,"""Los estados de emergencia no sirven para nada, esa es la verdad, no sirven para nada. Por tanto, tenemos que hacer otra politica fundada en investigacion crimina...""",Entrevista o declaración pública,"🔴🔵#InformamosYOpinamos 🗯🗯 | El candidato a la presidencia de la República por el Partido del Buen Gobierno llegó hasta Sullana en Piura, donde declaró para la prensa. Aprovechó para cuestionar los Estados de Emergencia y su baja efectividad ante la criminalidad. “No sirven para nada”, sostuvo. 📻 95.5 FM 📡 6.1 señal digital abierta 📺 Movistar: 34 SD - 734 HD 🌐 http://exitosanoticias.pe | Exitosa Noticias | Facebook",0:00:40
Matrimonio_igualitario,No se halló información,No se halló información,,,,,
Politicas_sin_influencia_religiosa,Muy de acuerdo,Liberal,2,"""Entonces, yo creo que ahí tenemos que tener una mirada pues más moderna, ¿no? Menos atada a creencias. Yo respeto las creencias en todos"".",Entrevista o declaración pública,"ROSA MARÍA PALACIOS ENTREVISTA A JORGE NIETO, CANDIDATO PRESIDENCIAL DE BUEN GOBIERNO | SIN GUION",0:15:55
Estado_no_interviene_estilo_vida,Muy de acuerdo,Liberal,2,"""¿Qué haces tú con tu vida? ¿Cuáles son tus opciones, preferencias? Mientras no dañes, claro, a otros y no transgredas ciertos límites, es tu problema""",Entrevista o declaración pública,🔴 JORGE NIETO - EL CANDIDATO AL QUE DEBERÍAS PRESTARLE ATENCIÓN - LA PATRIA QUE TE PARIÓ #42,1:00:20
Gobierno_mano_dura,En desacuerdo,Liberal,1,"""La gente ha recuperado sus calles, puede caminar tranquilamente en lugares donde antes no lo podía hacer. Esos mismos resultados nosotros lo podemos lograr aquí sin los excesos y abusos que se han cometido en El Salvador y tenemos nosotros las condiciones para hacerlo"".",Entrevista o declaración pública,Jorge Nieto presenta su plan para combatir la inseguridad rumbo al 2026 #ADNRPP | ENTREVISTA,0:06:33
Educacion_sexual_solo_familia,Muy en desacuerdo,Liberal,2,"""No, no podemos permitir que nuestros niños y nuestras niñas no tengan acceso a esa educación sexual integral""",Entrevista o declaración pública,"JORGE NIETO ARREMETE CONTRA LA DERECHA CONSERVADORA: ""MENTALIDADES MEDIEVALES"" | #DOBLERASERO",0:03:53
Pena_muerte,Muy en desacuerdo,Liberal,2,"""En general, la pena de muerte no ha demostrado eficiencia para combatir el delito. Al contrario, los delitos se hacen más violentos""",Entrevista o declaración pública,https://www.facebook.com/n60noticias/videos/849569074796426,0:36:00
Militares_control_calles,Muy en desacuerdo,Liberal,2,"""En el tema de seguridad ciudadana no, definitivamente no estoy de acuerdo ... Sacar a las fuerzas armadas significa darle una tarea que constitucionalmente no le compete y es darle un peso a las fuerzas armadas sobre la ciudadania para una institución cuyo objetivo es la guerra""",Entrevista o declaración pública,"#AlFinalDelDía | Jorge Nieto, candidato presidencial del Partido del Buen Gobierno: No estoy de acuerdo con la incorporación de las FF.AA. en contra del delito. Las FF.AA. deben encargarse de la frontera Mantente informado en la WEB ► https://bit.ly/webcanaln | Canal N | Facebook",0:01:11
Reprimir_protestas,En desacuerdo,Liberal,1,"""La policía no está para meterte palo, está para cuidarte, está para protegerte y por tanto su (de los jóvenes) sensibilidad frente a estos actos de hostilidad del Estado, porque eso son, es absolutamente justa y tiene que ser defendida y tiene que ser valorada como lo que es el ejercicio de derechos políticos, aunque no lo llamen así""",Entrevista o declaración pública,"JORGE NIETO, ALIAS TÍO DONOFRIO, MANDA INDIRECTA A LÓPEZ ALIAGA | #DOBLERASERO EN VIVO",0:14:51
Aborto_libre,Muy de acuerdo,Liberal,2,"""Yo creo que la mujer tiene el derecho a decidir"".",Entrevista o declaración pública,"ROSA MARÍA PALACIOS ENTREVISTA A JORGE NIETO, CANDIDATO PRESIDENCIAL DE BUEN GOBIERNO | SIN GUION",0:13:58
Posición Liberal-Conservador,,,"0,8",,,,
Cerrar_congreso_si_obstaculiza,,,,,,,
Cambios_radicales_policia,De acuerdo,Antisistema,1,"""Lo segundo es modernizar y reorganizar nuestra policía nacional. La policía como está no está funcionando bien"".",Entrevista o declaración pública,Jorge Nieto presenta su plan para combatir la inseguridad rumbo al 2026 #ADNRPP | ENTREVISTA,0:02:34
Nueva_constitucion,,,,,,,
Prohibir_politicos_repostulen,Neutral,Antisistema,,,,,
Reducir_sueldo_congresistas,,,,,,,
Permitir_mineria_informal,De acuerdo,Sistema,-1,"""Yo creo que el Reinfo, mientras no tengamos una ley de pequeña minería que establezca con claridad las obligaciones del pequeño minero y a su vez los plazos para su formalización, es una cosa que va a estar ahí permanentemente. Porque, ¿cuál es la alternativa a eso? Entrar a una confrontación""",Entrevista o declaración pública,"ROSA MARÍA PALACIOS ENTREVISTA A JORGE NIETO, CANDIDATO PRESIDENCIAL DE BUEN GOBIERNO | SIN GUION",0:18:03
Posición Sistema-Antisistema,,,0,,,,
Asilo_politico_peligro,,,,,,,
TLC_beneficiosos,De acuerdo,Globalista,1,"""Les hemos dado tratados de libre comercio para que puedan producir sus negociaciones y sus comercializaciones""",Entrevista o declaración pública,https://www.youtube.com/watch?v=yVw_ZPnidvo,1:11:00
Restringir_empresas_extranjeras,,,,,,,
Nacionalidad_migrantes,De acuerdo,Globalista,1,"""Usted es un venezolano y usted es un médico venezolano especialista en cáncer infantil. Yo no le quiero dar a usted la visa en Lima, pero le puedo dar la visa en Puno. Ahí lo necesito ...  -Un visado regional otorgaría su gobierno?- Un plan, como algunos países europeos tienen un plan para disponer a dónde llega la población migrante y cómo sus capacidades",Entrevista o declaración pública,"Entrevista a Jorge Nieto Montesinos del Partido del Buen Gobierno | ""Tu decisión 2026""",0:58:25
Ley_peruana_sobre_acuerdos,,,,,,,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,25",,,,
Mas_impuestos_ricos,No se halló información,No se halló información,,,,,
Empresas_sin_beneficios_tributarios,Muy de acuerdo,Izquierda,,"""Deben tener caracter y cordialidad para los que tienen esos benefecios tributarios y luego para retirarlos, quizas en una pauta pactada""",Entrevista o declaración pública,https://www.youtube.com/watch?v=ALwItgRptp4,0:24:53
Recursos_naturales_estado,De acuerdo,Izquierda,,"""Si la empresa fuera tan poco rentable, si la refinería de Talara fuera tan mala inversión y mal negocio, ¿por qué la quieren privatizar? ¿Porque son monjitas de la caridad? No Enrique (........) es negocio redondo""  ",Entrevista o declaración pública,https://www.youtube.com/watch?v=ALwItgRptp4,0:47:29
Pensiones_estado,No se halló información,No se halló información,,,,,
Sectores_estrategicos_privados,En desacuerdo,Izquierda,,"""[el modelo asiatico] es un modelo en el cual tienes un estado emprendedor que define rutas y visiones sobre lo que ese estado puede hacer en el mundo [...] ese estado se asocia con la empresa privada""",Entrevista o declaración pública,https://www.facebook.com/share/v/17AKdwteEw/,0:14:50
