Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,De acuerdo,Conservador,-1,"""Y si tenemos que volver a los jueces sin rostro, también se hará.""",Entrevista o declaración pública,Keiko Fujimori rompe su silencio con Milagros Leiva: habló sobre su vida y su campaña electoral - YouTube,1:29:44
Matrimonio_igualitario,En desacuerdo,Conservador,-1,"""Yo estoy a favor de la unión civil cuando se trata de defender al patrimonio. Unión civil patrimonial.""",Entrevista o declaración pública,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:25:43
Politicas_sin_influencia_religiosa,En desacuerdo,Conservador,-1,"“Somos un país de católicos. Yo soy católica. Creo que es importante y creo que la contribución del Estado no es muy alta. Así que me parece [bien] esta alianza o convenio que hay (2016)""",Entrevista o declaración pública,Keiko Fujimori está a favor de beneficios a la Iglesia Católica | EL COMERCIO PERÚ,
Estado_no_interviene_estilo_vida,No se halló información,No se halló información,--,,,,
Gobierno_mano_dura,Muy de acuerdo,Conservador,-2,"""Y eso es lo que vamos a hacer: mano dura contra la delincuencia, contra los extorsionadores, para recuperar la paz y la tranquilidad en nuestro país.""",Entrevista o declaración pública,Los peruanos como Celia exigen MANO DURA contra la delincuencia para recuperar el orden. Ese es el compromiso que nos llevamos y que seguimos construyendo en nuestra ruta Casa por Casa.,
Educacion_sexual_solo_familia,Muy de acuerdo,Conservador,-2,Impulso a la ley n°31498: Ley que impulsa la calidad de los materiales y recursos educativos en el Perú,Posición partidaria,Ley que impulsa la calidad de los materiales y recursos educativos en el Perú - LEY - N° 31498 - CONGRESO DE LA REPUBLICA,
Pena_muerte,En desacuerdo,Liberal,1,"""Yo creo que para derrotar el terrorismo no se requirió pena de muerte, (...). La estoy descartando.""",Entrevista o declaración pública,🔴 FUEGO CRUZADO ELECTORAL 🔥🗣️ KEIKO FUJIMORI EN VIVO - 25 de ENERO de 2026 - YouTube,0:35:41
Militares_control_calles,Muy de acuerdo,Conservador,-2,"""Se convocará a las Fuerzas Armadas y a la Policía Nacional para hacer patrullaje y rastrillaje (...)""",Entrevista o declaración pública,Keiko Fujimori rompe su silencio con Milagros Leiva: habló sobre su vida y su campaña electoral - YouTube,1:29:14
Reprimir_protestas,Muy de acuerdo,Conservador,-2,Votación en contra de la moción de vacancia de Dina Boluarte por las muertes en protestas.,Posición partidaria,Congreso rechaza admisión de moción de vacancia contra Dina Boluarte,
Aborto_libre,Muy en desacuerdo,Conservador,-2,"""Y esto yo lo he conversado con mis hijas. Yo estoy a favor del aborto terapéutico en caso de que la madre corra riesgo de vida, pero en caso de violación no. Yo optaría y le diría a mis hijas que ellas tengan al bebé.""",Entrevista o declaración pública,"Keiko addresses abortion, foreign policy, and campaign | At odds | Peru - YouTube",0:04:22
Posición Liberal-Conservador,,Conservador,"-0,6",,,,
Nueva_constitucion,Muy en desacuerdo,Sistema,-2,"""Fuerza Popular tiene como ideario principal a la Constitución de 1993.""",Entrevista o declaración pública,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:24:10
Cerrar_congreso_si_obstaculiza,Muy en desacuerdo,Sistema,-2,Indisolubilidad del Senado,Posición partidaria,,
Cambios_radicales_policia,De acuerdo,Antisistema,1,"""Creo que se necesitan cambios, pero para mejorar la política contra la inseguridad ciudadana, cómo luchar mejor contra la delincuencia. Yo creo que ese es el reto, hacia eso debemos debatir y enfocarnos""",Entrevista o declaración pública,Keiko Fujimori: cambios eran necesarios en la PNP | Radio Nacional,
Prohibir_politicos_repostulen,Muy de acuerdo,Sistema,-2,,Posición partidaria,,
Reducir_sueldo_congresistas,En desacuerdo,Sistema,-1,"Propuesta de aumento de sueldo a S/35.000 por presidente de la Comisión de Constitución, Arturo Alegría, y apoyada por Fernando Rospigliosi, ambos de Fuerza Popular.",Posición partidaria,Comisión de Constitución evalúa sueldos de S/ 35 mil para senadores y diputados en el nuevo Parlamento bicameral - Infobae,
Permitir_mineria_informal,De acuerdo,Sistema,-1,"Más del 75% de los congresistas de Fuerza Popular, Avanza País y Perú Libre respaldaron iniciativas favorables a la minería ilegal e informal, concluye un reciente estudio de Natural Resource Governance Institute (NRGI). ",Posición partidaria,"Más del 75% de Fuerza Popular, Avanza País y Perú Libre apoyan desregulación de minería no formal | Ojo Público",
Posición Sistema-Antisistema,,Sistema,"-0,5833333333",,,,
Asilo_politico_peligro,No se halló información,No se halló información,,,,,
TLC_beneficiosos,Muy de acuerdo,Globalista,2,"""Nuestras relaciones comerciales de gran oportunidad son con los Estados Unidos y con el Asia...""",Entrevista o declaración pública,🔴EN VIVO:🎙️ENTREVISTA A KEIKO FUJIMORI #ADNRPP #FEEG2026,1:33:53
Restringir_empresas_extranjeras,Muy en desacuerdo,Globalista,2,"""Le damos el mismo trato a los peruanos que a los inversionistas extranjeros, mediante licitaciones abiertas y a través de mecanismos como las leyes de gobierno a gobierno, obras por impuestos y las asociaciones público-privadas (APP). A través de estos mecanismos, el Perú invita a otros inversionistas a participar.""",Entrevista o declaración pública,"Keiko addresses abortion, foreign policy, and campaign | At odds | Peru - YouTube",0:08:15
Nacionalidad_migrantes,En desacuerdo,Nacionalista,-1,"""(...) a los indocumentados y a los que cometen delitos, sea la nacionalidad que sea, serán expulsados del Perú.""",Entrevista o declaración pública,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:27:11
Ley_peruana_sobre_acuerdos,De acuerdo,Nacionalista,-1,"""(Refiriendose a la Corte Interamericana de Derechos Humanos) Nos podemos retirar en los temas de terrorismo, (...) en ciertas otras cosas considero que sí, podríamos seguir manteniendonos.(...) Retiro total no, parcial, sí.""",Entrevista o declaración pública,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,0:30:18
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,25",,,,
Mas_impuestos_ricos,No se halló información,No se halló información,--,,,,
Empresas_sin_beneficios_tributarios,No se halló información,No se halló información,--,,,,
Recursos_naturales_estado,En desacuerdo,Derecha,-1,"""(Respecto a PetroPerú) Nuestra respuesta es una asociación público-privada. Convocaríamos al sector privado para tener mayor transparencia y enfocaríamos al Estado en las partes economicamente rentables (...)""",Entrevista o declaración pública,ENE 20 - Keiko Fujimori por primera vez en entrevista con Diego Acuña - YouTube,
Pensiones_estado,De acuerdo,Izquierda,1,"""Y nuestra propuesta es que Pensión 65 se vuelva paulatinamente universal.""",Entrevista o declaración pública,"Keiko Fujimori: 'Estamos vigilando a Balcázar, su gobierno es producto de la izquierda'",0:08:03
Sectores_estrategicos_privados,No se halló información,No se halló información,--,,,,
