Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,En desacuerdo,Liberal,1,"""Respeto al estado de derecho y libertades individuales, la libertad de expresión, los derechos civiles y la propiedad privada""",Ideario,https://primerolagente.pe/wp-content/uploads/2024/12/IdearioPrimeroLaGente-2024-12.pdf,
Matrimonio_igualitario,En desacuerdo,Conservador,-1,"""Estoy a favor de la Unión Civil Patrimonial. No al matrimonio, no al matrimonio [y de la adopción] tampoco, tampoco. Y te explico por qué: el matrimonio es una institución religiosa tomada por el Código Civil, esas cosas tienen que respetarse""",Entrevista o declaración pública,https://youtu.be/v-NkkbQteQc?si=W_LPHgelwcGP4WzC,0:04:53
Politicas_sin_influencia_religiosa,Muy de acuerdo,Liberal,2,"""Promoción de un auténtico estado laico""",Ideario,https://primerolagente.pe/wp-content/uploads/2024/12/IdearioPrimeroLaGente-2024-12.pdf,
Estado_no_interviene_estilo_vida,No se halló información,No se halló información,,,,,
Gobierno_mano_dura,Muy en desacuerdo,Liberal,-2,"""La mano dura no es eficiente si es discursiva, la mano firme si es eficiente""",Entrevista o declaración pública,https://youtu.be/BCj-I6Mr2QY,0:32:59
Educacion_sexual_solo_familia,En desacuerdo,Liberal,1,"""En educación sexual integral, lo hemos dejado a libertad de conciencia que es lo que corresponde""",Entrevista o declaración pública,https://youtu.be/Upf10sVCXJA,18:50:00
Pena_muerte,Muy en desacuerdo,Conservador,-2,"""Yo no estoy de acuerdo con la pena de muerte, por convicción y por principios. Pero, además, dejando de lado mi posición y mis principios, no ha resultado en ningún lugar""",Entrevista o declaración pública,https://youtu.be/4ODMJTsk1VE,0:03:09
Militares_control_calles,En desacuerdo,Liberal,1,"""Muestra de autoritarismo, exponiendo a las fuerzas armadas y a la policía, es un despropósito""",Entrevista o declaración pública,https://youtu.be/gIZ5IF6qiwI,0:08:14
Reprimir_protestas,En desacuerdo,Liberal,1,"""Tú no le puedes pedir a la policía y a las fuerzas armadas que contenga de manera indefinida demandas sociales""",Entrevista o declaración pública,https://youtu.be/gIZ5IF6qiwI,0:05:18
Aborto_libre,En desacuerdo,Conservador,-1,"""Yo estoy en contra del aborto en general, a favor del aborto en caso de violación""",Entrevista o declaración pública,https://youtu.be/Upf10sVCXJA,18:42:00
