Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,No se halló información,No se halló información,,,,,
Matrimonio_igualitario,Muy de acuerdo,Liberal,2,ha presentado un nuevo proyecto de ley para reconocer el matrimonio igualitario en el Perú.,Carrera política,https://larepublica.pe/sociedad/2023/09/05/plantean-pl-para-reconocer-matrimonio-igualitario-en-el-peru-y-los-realizados-en-el-extranjero-susel-paredes-congreso-de-la-republica-union-civil-254730,
Politicas_sin_influencia_religiosa,De acuerdo,Liberal,1,ha presentado un nuevo proyecto de ley para reconocer el matrimonio igualitario en el Perú.,Carrera política,https://larepublica.pe/sociedad/2023/09/05/plantean-pl-para-reconocer-matrimonio-igualitario-en-el-peru-y-los-realizados-en-el-extranjero-susel-paredes-congreso-de-la-republica-union-civil-254730,
Estado_no_interviene_estilo_vida,De acuerdo,Liberal,1,,,,
Gobierno_mano_dura,De acuerdo,Conservador,-1,"""No le va a temblar la mano contra la lucja frontal contra la corrupción, la delincuencia""",Entrevista o declaración pública,https://youtu.be/GLFqRXcpkDU?si=g9NsQ4rYPfQN5Gha,33:23:00
Educacion_sexual_solo_familia,No se halló información,No se halló información,,,,,
Pena_muerte,No se halló información,No se halló información,,,,,
Militares_control_calles,De acuerdo,Conservador,-1,""" EN APOYO A LA POLICÍA NACIONAL DEL PERÚ, PARA ENFRENTAR EL NARCOTRÁFICO, EL CRIMEN ORGANIZADO Y LA INSEGURIDAD CIUDADANA, EN LOS CASOS CONSTITUCIONALMENTE JUSTIFICADOS, DE ACUERDO A LEY.""",Entrevista o declaración pública,https://wb2server.congreso.gob.pe/spley-portal/#/expediente/2021/6800,
Reprimir_protestas,Muy en desacuerdo,Liberal,2,"""Condeno esa acción extrema de la policia""",Entrevista o declaración pública,https://x.com/Limagris/status/1973095494604685512,
Aborto_libre,De acuerdo,Liberal,2,"""No es una decisión feliz pero ha de primar el derecho a integridad de la víctima que es una niña. Condenable negarle ese imperativo ético. El Aborto terapéutico""",Entrevista o declaración pública,https://x.com/RobertoSanchP/status/1689344169200787456?s=20,
Posición Liberal-Conservador,,,"0,3",,,,
Cerrar_congreso_si_obstaculiza,De acuerdo,Antisistema,1,[Es Pro Castillo y defiende sus acciones],Entrevista o declaración pública,https://x.com/RobertoSanchP/status/2015693869900308627,
Cambios_radicales_policia,De acuerdo,Antisistema,1,"""PROYECTO DE LEY DE REFORMA DEL ARTÍCULO 167 DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ PARA GARANTIZAR LA MERITOCRACIA, TRANSPARENCIA E INDEPENDENCIA EN LA DESIGNACIÓN DE LOS COMANDANTES GENERALES DE LAS FUERZAS ARMADAS Y DE LA POLICÍA NACIONAL""",Entrevista o declaración pública,https://wb2server.congreso.gob.pe/spley-portal/#/expediente/2021/13012,
Nueva_constitucion,Muy de acuerdo,Antisistema,2,"""Con una asamble constituyente""",Entrevista o declaración pública,https://www.youtube.com/live/Q_Gkhvg3VtE?si=V4iPIGoTfw5Gbqjs,22:58:00
Prohibir_politicos_repostulen,En desacuerdo,Antisistema,1,,Entrevista o declaración pública,https://larepublica.pe/politica/actualidad/2023/11/16/aprueban-retorno-a-la-bicameralidad-que-congresistas-votaron-a-favor-y-en-contra-congreso-reeleccion-parlamentaria-1429008,
Reducir_sueldo_congresistas,De acuerdo,Antisistema,1,"""El Aumento de la Asignación en ingresos económicos de los congresistas No es justo y demuestra cero solidaridad con magros sueldos de los trabajadores. Esa decisión que no hemos pedido debe de Revertir y dejarse sin efecto, por un sentido de  Justicia""",Entrevista o declaración pública,https://x.com/RobertoSanchP/status/1785025941447774579,
Permitir_mineria_informal,Muy de acuerdo,Sistema,-2,"""La iniciativa de Roberto Sánchez busca instaurar un régimen paralelo de formalización que exonera a sus beneficiarios del control de explosivos e instrumentos ambientales""",Entrevista o declaración pública,https://www.infobae.com/peru/2026/01/13/polemico-proyecto-de-mineria-ancestral-plantea-exonerar-de-control-de-explosivos-y-estudio-ambiental-a-mineros/,
Posición Sistema-Antisistema,,,"0,4",,,,
Asilo_politico_peligro,Muy en desacuerdo,Globalista,2,"""¡EL ASILO POLÍTICO ES UN DERECHO!""",,https://www.facebook.com/RobertoSanchez.Oficial/videos/el-asilo-pol%C3%ADtico-es-un-derechoen-el-pleno-del-congreso-dije-con-claridadel-asil/4325481351019123/,
TLC_beneficiosos,De acuerdo,Globalista,1,"""El titular del Mincetur, Roberto Sánchez, señaló que la política de integración al mundo del Perú logra un impacto positivo para la economía nacional y de las regiones del país, principalmente para las micro, pequeñas y medianas empresas.""",Entrevista o declaración pública,https://elcomercio.pe/economia/peru/mincetur-intercambio-comercial-con-paises-con-tlc-sumo-us-54000-millones-en-primer-semestre-rmmn-noticia/,
Restringir_empresas_extranjeras,No se halló información,No se halló información,--,,,,
Nacionalidad_migrantes,No se halló información,No se halló información,--,,,,
Ley_peruana_sobre_acuerdos,De acuerdo,Nacionalista,-1,"""Revisión de los acuerdos [con empresas]""",Entrevista o declaración pública,https://www.tiktok.com/@roberto.snchez.pa/video/7616023469079235860,
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,25",,,,
Mas_impuestos_ricos,Muy de acuerdo,Izquierda,2,"""Entrevistador: ¿está a favor de grabarle impuestos a los ricos? RS: Absolutamente""",Entrevista o declaración pública,https://www.youtube.com/live/Q_Gkhvg3VtE?si=Y46gFn6pHo7uJ8h5,33:18:00
Empresas_sin_beneficios_tributarios,De acuerdo,Izquierda,1,"""Yo considero que el Perú necesita tributación justa y decente""",Entrevista o declaración pública,https://www.youtube.com/live/Q_Gkhvg3VtE?si=BFw8aDKywDzl677g,30:37:00
Recursos_naturales_estado,Muy de acuerdo,Izquierda,2,"""Yo propongo nacionalizar el gas de camisea""",Entrevista o declaración pública,https://www.youtube.com/live/Q_Gkhvg3VtE?si=lrkVvVhOXpKVi5Mg,22:42:00
Pensiones_estado,Muy de acuerdo,Izquierda,2,""" PROPONE CREAR EL PILAR PENSIONARIO NO CONTRIBUTIVO A PARTIR DEL ACTUAL PROGRAMA PENSIÓN 65.""",Entrevista o declaración pública,https://wb2server.congreso.gob.pe/spley-portal/#/expediente/2021/4829,
Sectores_estrategicos_privados,Muy en desacuerdo,Izquierda,2,"""PROYECTO DE LEY QUE DEROGA EL DECRETO DE URGENCIA 010-2025 A FIN DE EVITAR LA PRIVATIZACIÓN DE PETROPERÚ""",Entrevista o declaración pública,"https://wb2server.congreso.gob.pe/spley-portal/#/expediente/2021/13927, https://wb2server.congreso.gob.pe/spley-portal/#/expediente/2021/13927",
Priorizar_mineria_sobre_ambiente,De acuerdo,Derecha,-1,"""La iniciativa también propone un quiebre en la normativa ecológica al permitir que estos mineros operen sin presentar ningún instrumento de gestión ambiental, como la DIA, el EIA o el IGAFOM. En lugar de someterse a la fiscalización ambiental vigente, el proyecto de Sánchez Palomino plantea la creación del Fondo de Remediación Ambiental y de Asistencia Técnica (FORAT). """,Entrevista o declaración pública,https://www.infobae.com/peru/2026/01/13/polemico-proyecto-de-mineria-ancestral-plantea-exonerar-de-control-de-explosivos-y-estudio-ambiental-a-mineros/,
Servicios_basicos_privados,Muy en desacuerdo,Izquierda,2,"""[Subir los impuestos daría más dinero a los servicios públicos]""",Entrevista o declaración pública,https://www.youtube.com/live/Q_Gkhvg3VtE?si=SDmsl4CDwa7Mc8yj,34:05:00
Estado_rol_principal_economia,Muy de acuerdo,Izquierda,2,"""LEY QUE MODIFICA EL CAPÍTULO I Y EL TÍTULO III DE LA CONSTITUCIÓN POLÍTICA DEL PERÚ Y PROPONE SISTEMA ECONÓMICO PERUANO """,Entrevista o declaración pública,https://wb2server.congreso.gob.pe/spley-portal/#/expediente/2021/2861,
Posición Derecha-Izquierda,,,"1,2",,,,
