Pregunta,Respuesta,Postura política,Valor numérico,Cita,Fuente,Enlace,Minuto
Suspension_libertades_indefinida,No se halló información,No se halló información,,,,,
Matrimonio_igualitario,Neutral,Conservador,0,"""Yo creo que el amor no se debe politizar. (...) Un presidente de la república no puede cambiar las normas ni las leyes.""",Entrevista o declaración pública,"Entrevista a nuestro candidato presidencial Wolfgang Grozo, en #Enfrentados @americanoticiaspe",0:09:07
Politicas_sin_influencia_religiosa,No se halló información,No se halló información,,,,,
Estado_no_interviene_estilo_vida,No se halló información,No se halló información,,,,,
Gobierno_mano_dura,De acuerdo,Conservador,-1,"""Yo pienso que el Perú necesita un presidente que tenga principio de autoridad.""",Entrevista o declaración pública,"🔴🔵 Wolfgang Grozo: ""El Perú necesita un presidente que tenga principio de autoridad""",0:03:45
Educacion_sexual_solo_familia,En desacuerdo,Liberal,1,"""Mientras que esta (ESI) no vaya en contra de una formación normal (...).""",Entrevista o declaración pública,¿Qué opina el candidato Wolfgang Grozo sobre le ESI? #marcosifuentes #elecciones2026 #calateoelectoral | La Encerrona | Facebook,
Pena_muerte,Muy en desacuerdo,Liberal,2,"""Estamos en contra de la pena de muerte. Dios da la vida y Dios la quita.""",Entrevista o declaración pública,🔴🔵 Wolfgang Grozo: En contra de la pena de muerte y a favor de la cadena perpetua para corruptos,0:00:00
Militares_control_calles,En desacuerdo,Liberal,1,"Según el candidato, la crisis actual no se resuelve con presencia militar en las calles, medida que calificó como “absurda” y “fruto de la desesperación”.",Entrevista o declaración pública,Wolfgang Grozo: “En seis meses se sentirá la seguridad mediante inteligencia estratégica”,
Reprimir_protestas,De acuerdo,Liberal,1,"""El peruano tiene derecho a protestar, lo que no puede haber es que elementos violentistas se infiltren en estas marchas y generen caos.""",Entrevista o declaración pública,"🔴🔵#EligeBien ✅🇵🇪 | En diálogo con Exitosa, el candidato presidencial de Integridad Democrática, Wolfgang Grozo, aseguró que nunca ha descalificado las protestas ciudadanas. Esto, en respuesta a las críticas que ha recibido por sus declaraciones pasadas sobre las marchas contra Dina Boluarte. 📻 95.5 FM 📡 6.1 señal digital abierta 📺 Movistar: 552 SD - 774 HD 🌐 exitosanoticias.pe | Exitosa Noticias | Facebook",
Aborto_libre,En desacuerdo,Conservador,-1,"""(Respecto a violaciones a niñas) Yo estaría a favor que lo haga (Abortar) si es que la familia está de acuerdo.""",Entrevista o declaración pública,"Entrevista a nuestro candidato presidencial Wolfgang Grozo, en #Enfrentados @americanoticiaspe",0:08:54
Posición Liberal-Conservador,,,"0,15",,,,
Cerrar_congreso_si_obstaculiza,No se halló información,No se halló información,,,,,
Cambios_radicales_policia,Muy de acuerdo,Antisistema,2,"""Se tiene que hacer una reorganización de la policía.""",Entrevista o declaración pública,🔴🔵Wolfgang Grozo proposes drastic changes in the Police: “A reorganization has to take place” - YouTube,0:00:36
Nueva_constitucion,En desacuerdo,Sistema,-1,"""(En respuesta a si se debería cambiar la constitución) No, no. La constitución es la carta magna de las leyes. (...) El problema no es la carta magna, es quienes la legislan.""",Entrevista o declaración pública,https://www.youtube.com/watch?v=BFJQDm8oh60,0:46:20
Prohibir_politicos_repostulen,,,,,,,
Reducir_sueldo_congresistas,Muy de acuerdo,Antisistema,-2,"""Aumento de sueldos, por ejemplo, eso tenemos que cortarlo.""",Entrevista o declaración pública,https://www.youtube.com/watch?v=BFJQDm8oh60,0:48:06
Permitir_mineria_informal,,,,,,,
Posición Sistema-Antisistema,,,"-0,1",,,,
Asilo_politico_peligro,,,,,,,
TLC_beneficiosos,Muy de acuerdo,Globalista,2,5.3.4.5.1. FIRMA DE TRATADOS DE LIBRE COMERCIO CON TAILANDIA Y FILIPINAS,Plan de Gobierno,,
Restringir_empresas_extranjeras,,,,,,,
Nacionalidad_migrantes,,,,,,,
Ley_peruana_sobre_acuerdos,De acuerdo,Nacionalista,-1,"""(Refiriendose al CIDH) Si bien deben haber organismos supranacionales que velen por la seguridad jurídica, pero estas ya no se están dando de forma adecuada.""",Entrevista o declaración pública,https://www.youtube.com/watch?v=lD2foM1yGMk,0:07:26
Posición Nacionalista-Globalista,No se halló información,No se halló información,"0,125",,,,
Mas_impuestos_ricos,,,,,,,
Empresas_sin_beneficios_tributarios,Muy en desacuerdo,Derecha,-2,"""Se tiene que crear zonas económicas exclusivas, se tiene que bajar el tributo. (En referencia a las empresas):""",Entrevista o declaración pública,"Interview with Wolfgang Grozo, presidential candidate for the Democratic Integrity Political Party - YouTube",0:10:41
Recursos_naturales_estado,,,,,,,
Pensiones_estado,,,,,,,
Sectores_estrategicos_privados,,,,,,,
Priorizar_mineria_sobre_ambiente,,,,,,,
Servicios_basicos_privados,,,,,,,
Estado_rol_principal_economia,En desacuerdo,Derecha,-1,"Apostamos por el bienestar general de la población a través de la economía social de mercado, promoviendo la iniciativa privada y la libre competencia mientras el Estado cumple un rol subsidiario en la actividad empresarial para asegurar los derechos de los ciudadanos y dar la regulación necesaria que asegure una competencia justa en los mercados. ",Ideario,https://plataformaelectoral.jne.gob.pe/candidatos/plan-gobierno-trabajo/buscar,
Posición Derecha-Izquierda,,,#REF!,,,,
